Gebäude / MU,Start Datum SAP Auftrag ,Due Date BMRAM / End Datum SAP,Vorlaufzeit gemäss REF-0303762,Asset ID,Messstellen-Beschreibung,Kategorie,Status,Label Prio,Label Packet,Begründung,Zugänglichkeit ,Frequency,Interval,Event Typ,Messgrösse,Hersteller,Mod./Typ.,Serien-Nr.,Standort
Verpackung_PE,02.05.2025,31.07.2025,90,231VSTE231-MBC-007.RT.01,Lux Sonde,2- Prozess-/Systemkritisch,AM Freigabe,2,6,stillgelegt - entfällt ,"Einfach, D-Zone, Verpackungslinie, einfache Absprache mit der Linie ",Monthly,12,Kalibrierung,R_Optische Strahlung,Testo,6350551,85533855 ÷ 85609379,B231OG02 2.108A
Verpackung_PE,02.05.2025,31.07.2025,90,231VSTE231-MBC-006.RT.01,Lux Sonde,2- Prozess-/Systemkritisch,AM Freigabe,2,6,stillgelegt - entfällt ,"Einfach, D-Zone, Verpackungslinie, einfache Absprache mit der Linie ",Monthly,12,Kalibrierung,R_Optische Strahlung,Testo,6350551,85533931 ÷ 85609426,B231OG02 2.108A
QC_PE,01.06.2025,30.08.2025,90,250-VF090-BK000-YY018,Zeitgeber QC00773,1- Qualitätskritisch,Aktiv,1,6,,,Monthly,24,Kalibrierung,K_Zeit,n/a,272,77,B250OG04 4.407.01
QC_PE,01.06.2025,30.08.2025,90,250-VF090-BK000-YY015,Zeitgeber QC00674,1- Qualitätskritisch,Aktiv,1,6,,,Monthly,24,Kalibrierung,K_Zeit,n/a,272,84,B250OG04 4.407.01
PKAU_PE,03.07.2025,01.09.2025,60,235.F01.41.400.QT.8QET3,H2O2 Restkonzentration MTC,1- Qualitätskritisch,Aktiv,1,1,nach goLive direkt im Durchführ-Zeitraum,"Mittel, C-Zone FSP",Monthly,6,Endkalibrierung,Q_H2O2,Dräger,H2O2 LC 6809705,ARLK-0111,B235 1.054
Verpackung_PE,14.06.2025,12.09.2025,90,232VMDL001-0001.TT.01_1376.007,Datenlogger TN4-L,1- Qualitätskritisch,Aktiv,1,6,,"Einfach, Datenlogger mobile Geräte ",Monthly,18,Kalibrierung,T_Temperatur,ELPRO,ECOLOG TN4-L,64035 /  ES10003489,B232OG01 1.072
Rocephin_PE,03.07.2025,01.10.2025,90,207RAMA004-ELSS027.QT.QT01,H2O2-Messung Dekontamination,2- Prozess-/Systemkritisch,Aktiv,2,6,,,Monthly,12,Endkalibrierung,Q_H2O2,Vaisala,HPP272,T2520972,B207UG01 40
Rocephin_PE,03.07.2025,01.10.2025,90,207RAMA004-ELSS027.QT.QT02,H2O2-Messung Dekontamination,2- Prozess-/Systemkritisch,Aktiv,2,6,,,Monthly,12,Endkalibrierung,Q_H2O2,Vaisala,HPP272,S4350806,B207UG01 40
Rocephin_PE,03.07.2025,01.10.2025,90,207RAMA004-ELSS027.QT.QT07,H2O2-Messung Dekontamination,2- Prozess-/Systemkritisch,Aktiv,2,6,,,Monthly,12,Endkalibrierung,Q_H2O2,Vaisala,HPP272,S4410316,B207UG01 40
Rocephin_PE,03.07.2025,01.10.2025,90,207RAMA004-ELSS027.QT.QT06,H2O2-Messung Dekontamination,2- Prozess-/Systemkritisch,Aktiv,2,6,,,Monthly,12,Endkalibrierung,Q_H2O2,Vaisala,HPP272,S4350807,B207UG01 40
